Name,Country,Coordinates
Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,Italy,N45 27 57.6 E9 10 15.6
"Church of the Ascension, Kolomenskoye",Russian Federation,N55 39 20.016 E37 40 26.004
"Church Town of Gammelstad, Luleå",Sweden,N65 38 45.996 E22 1 42.996
Churches and Convents of Goa,India,N15 30 7.992 E73 54 42.012
Churches of Chiloé,Chile,S42 30 0 W73 46 0
Churches of Moldavia,Romania,N47 46 42 E25 42 46
Churches of Peace in Jawor and Świdnica,Poland,N51 3 15.4 E16 11 45.4
Churches of the Pskov School of Architecture,Russian Federation,N57 48 25.9 E28 19 42.8
"Cidade Velha, Historic Centre of Ribeira Grande",Cabo Verde,N14 54 54.5 W23 36 18.7
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",Italy,N40 16 60 E15 16 0
Cistercian Abbey of Fontenay,France,N47 38 21.984 E4 23 20.796
Citadel of the Ho Dynasty,Viet Nam,N20 4 41 E105 36 17
"Citadel, Ancient City and Fortress Buildings of Derbent",Russian Federation,N42 3 21 E48 16 58
City of Bath,United Kingdom of Great Britain and Northern Ireland,N51 22 53 W2 21 31
City of Cuzco,Peru,S13 31 2.194 W71 58 48.014
City of Graz – Historic Centre and Schloss Eggenberg,Austria,N47 4 23 E15 26 19
City of Luxembourg: its Old Quarters and Fortifications,Luxembourg,N49 36 36 E6 7 59.988
City of Potosí,Bolivia (Plurinational State of),S19 35 56.803 W65 44 59.327
City of Quito,Ecuador,S0 13 12 W78 30 43.5
City of Safranbolu,Türkiye,N41 15 36 E32 41 22.992
City of Valletta,Malta,N35 54 2.016 E14 30 51.984
City of Verona,Italy,N45 26 19 E10 59 38
City of Vicenza and the Palladian Villas of the Veneto,Italy,N45 32 57 E11 32 58
Ciudad Universitaria de Caracas,Venezuela (Bolivarian Republic of),N10 29 26.628 W66 53 26.448
Classical Gardens of Suzhou,China,N31 19 0 E120 27 0
Classical Weimar,Germany,N50 58 39 E11 19 42.996
Cliff of Bandiagara (Land of the Dogons),Mali,N14 19 59.988 W3 25 0.012
Cocos Island National Park,Costa Rica,N5 31 60 W87 4 0
Coffee Cultural Landscape of Colombia,Colombia,N4 53 22.114 W75 46 23.095
Coiba National Park and its Special Zone of Marine Protection,Panama,N7 25 58.8 W81 45 57.6
Colchic Rainforests and Wetlands,Georgia,N41 42 8.2 E41 57 4.32
Cold Winter Deserts of Turan,Kazakhstan,N44 1 33 E79 2 3
"Collegiate Church, Castle and Old Town of Quedlinburg",Germany,N51 46 59.988 E11 9 0
Cologne Cathedral,Germany,N50 56 28 E6 57 26
Colonial City of Santo Domingo,Dominican Republic,N18 28 20.618 W69 53 9.028
Colonies of Benevolence,Belgium,N53 2 32 E6 23 29.72
Comoé National Park,Côte d'Ivoire,N9 0 0 W4 0 0
Complex of Hué Monuments,Viet Nam,N16 28 9.984 E107 34 40.008
Complex of Koguryo Tombs,Democratic People's Republic of Korea,N38 51 47 E125 24 54
Convent of Christ in Tomar,Portugal,N39 36 16.992 W8 25 3
Cordouan Lighthouse,France,N45 35 10.7 W1 10 24
Cornwall and West Devon Mining Landscape,United Kingdom of Great Britain and Northern Ireland,N50 8 10 W5 23 1
Coro and its Port,Venezuela (Bolivarian Republic of),N11 24 35.258 W69 40 45.221
Costiera Amalfitana,Italy,N40 37 60 E14 36 10
Crac des Chevaliers and Qal’at Salah El-Din,Syrian Arab Republic,N34 45 24 E36 17 40
Crespi d'Adda,Italy,N45 35 35.988 E9 32 17.988
"Cueva de las Manos, Río Pinturas",Argentina,S47 8 60 W70 40 0
Cultural and Historic Ensemble of the Solovetsky Islands,Russian Federation,N65 4 60 E35 40 0
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Afghanistan,N34 50 48.984 E67 49 30.9
Cultural Landscape of Bali Province: the Subak System as a Manifestation of the Tri Hita Karana Philosophy,Indonesia,S8 15 33 E115 24 10
Cultural Landscape of Hawraman/Uramanat,Iran (Islamic Republic of),N35 6 26.49 E46 28 40.26
Cultural Landscape of Honghe Hani Rice Terraces,China,N23 5 35.8 E102 46 47.93
